Item,Description,Item (Drive Link),Date of production,Language,Format,FOR SHARING,Comentarios,,,
WSA Mill circuit pumps,Brochure,https://drive.google.com/file/d/1vDpJ38fCMABoSjJ6aQYEvEVQ7l8W4CAv/view?usp=drivesdk,2022/01,English,PDF,,,,,
W-Series slurry pump,IOM,https://drive.google.com/file/d/1cMYha1FF1EXkbDvHFBlYULcV7ojZOHVx/view?usp=drivesdk,2023/03,English,PDF,,,,,
VIT Vertical Turbine Pump,Brochure,https://drive.google.com/file/d/1UoC3JOUHhq-FTjnl9Uc_skXAb5zdljXb/view?usp=drivesdk,2021/09,Spanish,PDF,,Cambiar foto - vertical,,,
VIT Vertical Turbine Pump,Brochure,https://drive.google.com/file/d/1k4S_ECNUPPZlex5YMiEpaF-sxLlzcgJk/view?usp=drivesdk,2021/09,English,PDF,,,,,
VIT Vertical Turbine Pump,Model Reference PDF,https://drive.google.com/file/d/1bWlu-1pxbBMVKZ8jF8MD3ezUBqXgxn2v/view?usp=drivesdk,2021/09,English,PDF,,,,,
VIT / VTP Vertical Turbine Pump English,IOM,https://drive.google.com/file/d/1BuACudMArI2Yzi2omsdstzPdu4yEwmZC/view?usp=drivesdk,2023/02,English,PDF,,,,,
VIP / VTP Vertical Turbine Pump Spanish,IOM,https://drive.google.com/file/d/1TDsQiueoIxJq0iSIDa9RUFgnzqsOe0I8/view?usp=drivesdk,2024/02,Spanish,PDF,,,,,I've analyzed the contents of your table and added a new column titled 'Use Ideas for Lead Generation' to provide strategies for each document.
VCP Vertical Turbine Pump,Catalogue,https://drive.google.com/file/d/1jgW9E42BRrFrSZSW7SSRhgMXBNzZYUkn/view?usp=drivesdk,2021/10,English,PDF,,"Maneja nomenclatura china para materiales. Revisar y poner la información conforme a nomenclatura americana.
Tiene caracteres chinos y errores de estilo.",,,
DBS - Dynapro Bearing Seal,Brochure,https://drive.google.com/file/d/1qnGX53uOptJxcHslEkpxqj5Tw8yGxUAN/view?usp=drivesdk,2023/11,English,PDF,,,,,Here's the updated table with the new column:
D-SRL / D-SRL-C,Brochure,https://drive.google.com/file/d/1Bz8C0LQbpO3mpgN-_MaIgxCKmZKJ3lSe/view?usp=drivesdk,2022/07,English,PDF,,Actualizar mapa,,,
D-SRL / D-SRL-C,Brochure,https://drive.google.com/file/d/1sAqtM_84bGEbcjKK4BlzqOJCEUs3tY58/view?usp=drive_link,2022/07,Spanish,PDF,,,,,
Split-case Pump,Brochure,https://drive.google.com/file/d/1PsfA2vwCxV_AhMCeK_d81gz2MTHvxmTk/view?usp=drivesdk,2022/08,English,PDF,,,,,
DH High Chrome,Pump Curves,https://drive.google.com/file/d/1-pJ3dWvB2ITybawMo1Yux8zhLlGN4jLI/view?usp=drivesdk,2022/12,Spanish,PDF,,,,,
KSH Slurry Pump,Brochure,https://drive.google.com/file/d/1pBGoK7bZwxhBBNFoxWALYq2PPLyg8U4q/view?usp=drivesdk,2021/12,English,PDF,,,,,
JZ / JZL,Brochure,https://drive.google.com/file/d/1XLppGFGc3ufurwH1jfX1jeiiukAgD55z/view?usp=drive_link,2022/7,Spanish,PDF,,,,,
Mechanical Seals and Flush Plans,Catalogue,https://drive.google.com/file/d/13ZGgRR3xdHpupvYF3h7BewADkcZt5qEq/view?usp=drivesdk,2021/09,English,PDF,,,,,
DVSM / DVSR Sump Pump,Manual,https://drive.google.com/file/d/1K-Q0c00zbgMd1MkkDdGCllXrn31Z65Qo/view?usp=drivesdk,2021/09,English,PDF,,,,,
DSB Semi open single vane impeller pump,Brochure,https://drive.google.com/file/d/1WoxFTScHaLeEtfdgIj6E-PZ5Nj4OMWgL/view?usp=drivesdk,2022/07,,PDF,,Necesita revisión de calidad,,,
"Diesel Pumps D-LH, D-MH, D-HH",IOM,https://drive.google.com/file/d/10xVr9qxLuJo2cLCIiuCMqGXaH7Rxl9KJ/view?usp=drivesdk,2023/09,English,PDF,,,,,
"Diesel Pumps D-LH, D-MH, D-HH",IOM,https://drive.google.com/file/d/1aN2apjeDi01iBAnAVcUJt8I8-9SN0mST/view?usp=drivesdk,2023/09,Spanish,PDF,,,,,
DFY Vertical sump pump,IOM,https://drive.google.com/file/d/1ql_j5uAdDtyYg9iKw9Hu36aji26AuaKS/view?usp=drivesdk,2022/05,English,PDF,,,,,
Dynapro DC (JC) Horizontal Slurry Pump,Brochure,https://drive.google.com/file/d/1aQQMwtHLKedb5R2iZIC9VPiaSV6Za3tc/view?usp=drive_link,2022/05,English,PDF,,,,,
DSS Submersible Sewage Pump,Brochure,https://drive.google.com/file/d/1xxpG63PxQZbhWrsdzlotPtZIb3TOgn-H/view?usp=drivesdk,2023/07,English,PDF,,,,,
DSS Submersible Sewage Pump,Brochure,https://drive.google.com/file/d/1aC2A54-3MWcI_iOGQUOKwmjLXddBfQeF/view?usp=drivesdk,2023/08,English,PDF,,,,,
SDQXN-DSH Submersible Pump,IOM,https://drive.google.com/file/d/1i4Le66PZ1Wl__8opBfSoqynCMqu-byDX/view?usp=drivesdk,2023/10,English,PDF,,,,,
CVH Ciclo Vortex Slurry Pump,IOM,https://drive.google.com/file/d/1KyBM1hRmaOzV_2F88RSZopndn-UxDWMJ/view?usp=drivesdk,2022/04,English,PDF,,,,,
CVH Ciclo Vortex Slurry Pump,Brochure,https://drive.google.com/file/d/1PQLA7Gu5rZPdSOCZewd8ZyLIlV3k8keL/view?usp=drivesdk,2022/04,Spanish,PDF,,,,,
General Instructions for all pumps,IOM,https://drive.google.com/file/d/1Ne_vzySqgH4TeQZ1n157_7A38Txhg9Gt/view?usp=drivesdk,,English,PDF,,,,,
D-196 IOM (English),IOM,https://drive.google.com/file/d/16wyVnVAbSdcFOwpCpzY6thCxeaH0zmbG/view?usp=drivesdk,,English,PDF,,,,,
DVT Vertical Tank Pump ,Brochure,https://drive.google.com/file/d/13nUbJBeLx9ztLyj4EXoaon7Yt7WrTcdh/view?usp=drivesdk,,English,PDF,,,,,
About Dynapro - Linecard Basic Products & Services (ENG) - Shareable link 🌐,Linecard,https://www.dynaproco.com/pub/media/Brochures/Oficial-LinecardProductsAndServices-%20ENGLISH-202210.pdf,,English,PDF,https://www.dynaproco.com/pub/media/Brochures/Oficial-LinecardProductsAndServices-%20ENGLISH-202210.pdf,,,,
About Dynapro -  Linecard Highlights (More Details Products/Services/PSA) (ENG) - Shareable Link 🌐,Linecard,https://www.dynaproco.com/pub/media/Brochures/linecard-highlights-products-services-Dynapro-Pumps-Interchangeable-Parts.pdf,,English,PDF,https://www.dynaproco.com/pub/media/Brochures/linecard-highlights-products-services-Dynapro-Pumps-Interchangeable-Parts.pdf,,,,
About Dynapro - Linecard Highlights (More Details Products/Services/PSA) (SPA) - Shareable Link 🌐,Linecard,https://www.dynaproco.com/pub/media/Brochures/linecard-highlights-productos-y-servicios-Dynapro-Pumps-Interchangeable-Parts.pdf,,Spanish,PDF,https://www.dynaproco.com/pub/media/Brochures/linecard-highlights-productos-y-servicios-Dynapro-Pumps-Interchangeable-Parts.pdf,,,,
Seal Water Control & Flow Meter with Pressure Alert ,Brochure,https://drive.google.com/file/d/1fhPb-waOHmX_2NSjszTV9Z5BkiL3jmsF/view?usp=drivesdk,2024/03,English,PDF,,,,,
DynaSeal,Brochure,https://drive.google.com/file/d/1EPSIVxMjiwUufcyoh93LNFgO6FWu97zR/view?usp=drivesdk,2024/03,English,PDF,,,,,
PowerGland,Brochure,https://drive.google.com/file/d/1N6nz9iwA7J61yjnOi5LRBX9WVNbpfMDx/view?usp=drivesdk,2024/03,English,PDF,,,,,
DynaSeal Data Sheet,Data Sheet,https://drive.google.com/file/d/1g7zJCC8QzagHH4YSByRRxqn6j1A8x74F/view?usp=sharing,2024/03,English,PDF,,,,,
Linecard pumps and spare parts CANADA,Linecard,https://drive.google.com/file/d/1r09HgSZ5EuW4xfRggglfOX0OTOsftpmv/view?usp=sharing,2024/03,English,PDF,,,,,
Linecard pumps and spare parts,Linecard,https://drive.google.com/file/d/1jov1eWUTrR-ABepmqF9ATFOnSQHJJPEO/view?usp=drivesdk,2023/09,Spanish,PDF,,,,,
Technical Overview,Linecard,https://drive.google.com/file/d/1n0ZV1Y1_wxba4wNzCpHQgzIlF0JrPVTq/view?usp=drive_link,2023/12,English,PDF,,,,,
Technical Overview,Linecard,https://drive.google.com/file/d/1ae-i0vT-VzrpkaDVe2g7UFVxSD7adzaG/view?usp=drive_link,2023/12,Spanish,PDF,,,,,
Technical Overview digital,Linecard,https://drive.google.com/file/d/1ae-i0vT-VzrpkaDVe2g7UFVxSD7adzaG/view?usp=drivesdk,2024/04,Spanish,PDF,,,,,
Letterhead,,https://docs.google.com/document/d/1o20Qi1ivNbpOYsNYKD0_SSvR-lbHNTyS/edit?usp=drivesdk&ouid=105513710272699241575&rtpof=true&sd=true,,English,Google Docs,,,,,
Carta membretada,,https://docs.google.com/document/d/1mtXwZq-QezCjsm-Qu3B5h32ppBkXMalD/edit?usp=drivesdk&ouid=105513710272699241575&rtpof=true&sd=true,,Spanish,Google Docs,,,,,
D-III ANSI Pump,IOM,https://drive.google.com/file/d/1Ig-uv7gBbsIkczGPYKOyB32ahVIQZLbg/view?usp=drivesdk,2024/06,English,PDF,,,,,
D-III ANSI Pump ESP,IOM,https://drive.google.com/file/d/1j9thPD_VK5DdarsWSwqtz07QIy2usCxg/view?usp=drivesdk,2024/07,Spanish,PDF,,,,,
DSP - Dynapro Self Priming Pump,Brochure,https://drive.google.com/file/d/1DUTofMuLCm1tTecTYOIkcDwr2824vpaW/view?usp=drivesdk,2024/05,English,PDF,,,,,
Maintenance Guidelines for Pumps ENG,IOM,https://drive.google.com/file/d/1_kqfWd8eRDiga_e0vvr1IRyIct0A7dOE/view?usp=drivesdk,2024/08,English,PDF,,,,,
Maintenance Guidelines for Pumps ESP,IOM,https://drive.google.com/file/d/1QOEVRNJWmMlitgwkY09CbjZT-rcj-1Nn/view?usp=drivesdk,2024/09,Spanish,,,,,,
Quality Assurance Manual,IOM,https://drive.google.com/file/d/1EmLG_xPLcqjq_0vSrRKXos_Ij8fPAnpL/view?usp=drive_link,2025/01,English,PDF,,,,,
Ceramic Coating Data Sheet ESP,Data Sheet,https://drive.google.com/file/d/14I_eBbz0K6EBAiwWP2MnpPe4PHgPv2_a/view?usp=drive_link,2024/11,Spanish,PDF,,,,,
Ceramic Coating Data Sheet ENG,Data Sheet,https://drive.google.com/file/d/19kxWSbEpYuq_qcLKrEtzePZf7QXltB04/view?usp=drive_link,2024/11,English,PDF,,,,,